text,domain,intent
what is the traffic like on the way to makaha,auto_commute,traffic
how is the traffic like on my way to fairfield,auto_commute,traffic
what's the traffic like to city hall,auto_commute,traffic
how bad is traffic at 8 on the way to burger king,auto_commute,traffic
is there any traffic congestion on my way to the closest whole foods,auto_commute,traffic
what is the traffic situation at the olive garden restaurant,auto_commute,traffic
how is the traffic at the nearest wal-mart pharmacy,auto_commute,traffic
is the expressway slow this morning,auto_commute,traffic
what is the traffic like at the closest safeway grocery store,auto_commute,traffic
how is the traffic near lexington,auto_commute,traffic
is there traffic on my way to work today,auto_commute,traffic
is there traffic up ahead,auto_commute,traffic
tell me how traffic is looking on the interstate,auto_commute,traffic
is there traffic on bramble lane,auto_commute,traffic
how is the traffic typically at noon on the route to hospital,auto_commute,traffic
what is the traffic like on the way to kaneohe,auto_commute,traffic
how clogged are the streets before the stadium,auto_commute,traffic
is there traffic on my way to work,auto_commute,traffic
traffic looking alright going towards burger king,auto_commute,traffic
i gotta know what the traffic is like on the way to phoenix,auto_commute,traffic
how's highway traffic today,auto_commute,traffic
what's the traffic like on the way to the water slides,auto_commute,traffic
please go to the song after this one,home,next_song
go to the next tune,home,next_song
go to my next song,home,next_song
hop to the next one,home,next_song
jump to the next song on this playlist,home,next_song
lets pause this song and move onto the next,home,next_song
change the song to the next one on this playlist,home,next_song
find the next song on this playlist,home,next_song
i want to listen to another song,home,next_song
go forward one song,home,next_song
"go to next song, please",home,next_song
go to the next song and skip,home,next_song
play the next song on this list,home,next_song
next song play,home,next_song
go forward to the next track,home,next_song
switch to the next song on this playlist please,home,next_song
what is the next song to be played,home,next_song
you must skip this song and play the next one,home,next_song
play the next track,home,next_song
please put on the next number on this playlist,home,next_song
go past this song,home,next_song
play the song coming on next,home,next_song
proceed to the next song on this playlist,home,next_song
i need you to play the next song on this playlist,home,next_song
"can you play the next song on this playlist, please",home,next_song
stop this song and go to the next one,home,next_song
start playing the next track,home,next_song
remember to play the next number on this particular playlist,home,next_song
play the song after this,home,next_song
forget this song and go to the next,home,next_song
skip and play next song,home,next_song
i would like to hear the next tune on this particular playlist,home,next_song
please play the next song on this playlist,home,next_song
please play the next song,home,next_song
continue to next song on the playlist,home,next_song
play the next hit,home,next_song
advance to the next song,home,next_song
stop the current song and play the next one on this playlist,home,next_song
go to next song,home,next_song
play next on the playlist,home,next_song
i want to listen to the next song on this playlist instead,home,next_song
play the next tune,home,next_song
can we play the next track,home,next_song
can you skip this song,home,next_song
i want you to play the next song on this playlist,home,next_song
"i don't want this song, move to the next",home,next_song
can you move to the next song,home,next_song
skip this song and play the next one,home,next_song
can we skip this song,home,next_song
can we stop this song and play the next one,home,next_song
where do you hail from,small_talk,where_are_you_from
so where did you live when you were a baby,small_talk,where_are_you_from
where did you last live,small_talk,where_are_you_from
"when you were a child, where did you live",small_talk,where_are_you_from
what is your country of origin,small_talk,where_are_you_from
where are you from,small_talk,where_are_you_from
what state were you born in,small_talk,where_are_you_from
where did you live prior to living here,small_talk,where_are_you_from
where was your home before here,small_talk,where_are_you_from
where is your country of origin,small_talk,where_are_you_from
do you know where you were born,small_talk,where_are_you_from
where did you originate from,small_talk,where_are_you_from
could you tell me where did you originate,small_talk,where_are_you_from
did you grow up here,small_talk,where_are_you_from
what is the area that you came from,small_talk,where_are_you_from
would you care to let me know where you were made,small_talk,where_are_you_from
where is your place of origin,small_talk,where_are_you_from
what is your place of origin,small_talk,where_are_you_from
where did you used to live,small_talk,where_are_you_from
where were you made,small_talk,where_are_you_from
what place were you created in,small_talk,where_are_you_from
what country were you made,small_talk,where_are_you_from
what location were you born in,small_talk,where_are_you_from
your birth occurred where,small_talk,where_are_you_from
where did you live previously,small_talk,where_are_you_from
in which place were you made,small_talk,where_are_you_from
can you tell me your place of origin,small_talk,where_are_you_from
where did they make you,small_talk,where_are_you_from
where is your home located,small_talk,where_are_you_from
where is your original location,small_talk,where_are_you_from
what city were you born in,small_talk,where_are_you_from
in which area were you made,small_talk,where_are_you_from
what location did you live at before,small_talk,where_are_you_from
where's your birthplace,small_talk,where_are_you_from
what's your country of origin,small_talk,where_are_you_from
"up until now, what place was your home base",small_talk,where_are_you_from
tell me where you come from,small_talk,where_are_you_from
in what state were you born,small_talk,where_are_you_from
what's your hometown,small_talk,where_are_you_from
where did your mom have you,small_talk,where_are_you_from
where did your parents have you,small_talk,where_are_you_from
were you born here,small_talk,where_are_you_from
where were you before moving here,small_talk,where_are_you_from
where are your origins found,small_talk,where_are_you_from
what's your nationality,small_talk,where_are_you_from
where did you live before here,small_talk,where_are_you_from
from whence do you hail,small_talk,where_are_you_from
are you from the uk,small_talk,where_are_you_from
where would you say you were born,small_talk,where_are_you_from
where is your birth place,small_talk,where_are_you_from
"i purchased new tires yesterday, should i buy new ones",auto_commute,tire_change
when is it imperative that i get my tires changed,auto_commute,tire_change
help me and let me know when i should replace my tires next if i last replaced them on june 2,auto_commute,tire_change
when should i get my tires changed again,auto_commute,tire_change
would you tell me when i should replace my tires next if i last replaced them on june 2,auto_commute,tire_change
when will i need to replace my tires if i last replaced them on december 20,auto_commute,tire_change
how long before i need to replace my tires after i replaced them on 2/24/18,auto_commute,tire_change
i replaced my tires last year when should i replace my tires again,auto_commute,tire_change
when will i need to change my tires again,auto_commute,tire_change
how long can i go before i need to change my tires,auto_commute,tire_change
should i change my tires,auto_commute,tire_change
when is the right time to change my tires,auto_commute,tire_change
is there a time when i should get my tires changed,auto_commute,tire_change
"tell me when i need to replace my tires, if i replaced them on october 1, 2017",auto_commute,tire_change
i need to know when should i get my tires changed next,auto_commute,tire_change
when will my tires need to be replaced,auto_commute,tire_change
how many times a year should i change my tires,auto_commute,tire_change
is there a specific date when i should get my tires changed,auto_commute,tire_change
when should i go in and have my tires changed,auto_commute,tire_change
let me know when should i get my tires changed next,auto_commute,tire_change
tell when should i get my tires changed next,auto_commute,tire_change
how many miles until i change my tires,auto_commute,tire_change
when are my tires next due for a change,auto_commute,tire_change
how long until i need to change my tires,auto_commute,tire_change
"if i bought new tires on may 27th, should i still need new ones",auto_commute,tire_change
when are my tires due to be changed,auto_commute,tire_change
how long until i should have my tires replaced,auto_commute,tire_change
how many miles do i drive before i have to get new tires i replaced them four years ago,auto_commute,tire_change
"i replaced my tires yesterday, when should i get new ones",auto_commute,tire_change
is there a way to tell if i need new tires,auto_commute,tire_change
when is it recommended that i change my tires next,auto_commute,tire_change
how many miles before i need my tires changed,auto_commute,tire_change
when am i due for a tire change,auto_commute,tire_change
what date should i get my tires changed,auto_commute,tire_change
how long until i have to replace my tires,auto_commute,tire_change
are my tires due to be changed,auto_commute,tire_change
do i need to change any of my tires,auto_commute,tire_change
when do my tires need changing,auto_commute,tire_change
when should i have my tires replaced if i replaced them on the first of march,auto_commute,tire_change
are my tires due to be changed soon,auto_commute,tire_change
tell me the status of my tires and when i need to replace them,auto_commute,tire_change
how much longer until i have to change my tires,auto_commute,tire_change
tell me when should i get my tires changed next,auto_commute,tire_change
do i need new tires if i just got them replaced on january 2017,auto_commute,tire_change
how often do you change your tires,auto_commute,tire_change
can you tell me when my tires should get changed,auto_commute,tire_change
would you say i need new tires if i last bought them on the 24th,auto_commute,tire_change
when do my tires need some changing,auto_commute,tire_change
when do i take my car in for a tire change,auto_commute,tire_change
"if i replaced my tires on christmas eve, when will i need to replace them again",auto_commute,tire_change
when's the next time i have to pay the insurance,banking,bill_due
how much time left to pay my bill,banking,bill_due
i need to know the due date for my credit card,banking,bill_due
what time do i have to pay z bill,banking,bill_due
what's the due date for my american express payment,banking,bill_due
do i pay my rent this week,banking,bill_due
how do i ascertain when my next insurance payment will be,banking,bill_due
when's the ac bill due,banking,bill_due
when is my xfinity bill due,banking,bill_due
on what day do i pay my car payment,banking,bill_due
what's the due date for the credit card,banking,bill_due
when do i need to pay the water bil,banking,bill_due
please find the exact payment due date for my sprint phone bill,banking,bill_due
when do i have to pay my gas bill by,banking,bill_due
i need to know when i must pay my car bill,banking,bill_due
when is visa due,banking,bill_due
how do i find when my water bill needs to be paid,banking,bill_due
how do i know when to pay my gas bill,banking,bill_due
what is the exact due date for my mortgage payment,banking,bill_due
what day is my car insurance due,banking,bill_due
i need the new due date for my pgw gas bill,banking,bill_due
when's the next phone bill,banking,bill_due
how do i find when my electric bill is due,banking,bill_due
can you tell me when my peco energy bill is due this month,banking,bill_due
how do i find when my medical bill is due,banking,bill_due
tell me when i have to pay my bill,banking,bill_due
do i need to pay my credit card bill already,banking,bill_due
what is the due date for my metronorth monthy pass,banking,bill_due
when is my water bill due,banking,bill_due
what is the latest date that i can pay my direct tv bill this month,banking,bill_due
where should i look for when my gas bill is due,banking,bill_due
i want to know when a bill is due,banking,bill_due
when should i pay my bill by,banking,bill_due
what day is the z bill due,banking,bill_due
tell me when my bill will be due,banking,bill_due
on what day do i have to pay my nordstrom bill,banking,bill_due
when do i have to pay my electric bill by,banking,bill_due
when do i need to pay my annual payment for auto insurance,banking,bill_due
give me the date my bill is due,banking,bill_due
can you tell me the date my credit card is due,banking,bill_due
is my at&t bill do soon,banking,bill_due
what day is the bill due,banking,bill_due
i would like to know when the bill is due,banking,bill_due
do you know when my next electric bill is due,banking,bill_due
whats the due date for z bill,banking,bill_due
how do i locate when my gas bill is do,banking,bill_due
when is too late to pay my cable bill,banking,bill_due
when does the car payment come due,banking,bill_due
what is the due date on my xfinity internet bill for february,banking,bill_due
i would like to know my electric bills date it needs to be payed,banking,bill_due
"how are you doing today, ai",small_talk,greeting
"why, hello bandit",small_talk,greeting
just wanted to say hi,small_talk,greeting
hey what's up,small_talk,greeting
hey how's it hanging,small_talk,greeting
how are things with you,small_talk,greeting
are you doing okay,small_talk,greeting
how are you today,small_talk,greeting
have you been good,small_talk,greeting
"howdy, what's new",small_talk,greeting
how is your day,small_talk,greeting
"hey, ai",small_talk,greeting
"hello, friend",small_talk,greeting
ai how are you doing today,small_talk,greeting
can you tell me how you're doing today,small_talk,greeting
how are things going,small_talk,greeting
greetings to you,small_talk,greeting
how's it going with you,small_talk,greeting
hi there alexa,small_talk,greeting
are you doing ok,small_talk,greeting
how're you doing,small_talk,greeting
"ai, how are you feeling",small_talk,greeting
hi how is everything,small_talk,greeting
how have you been,small_talk,greeting
"yo, hows it going",small_talk,greeting
hey there fellow,small_talk,greeting
"hello, anyone there",small_talk,greeting
what's going on,small_talk,greeting
hola,small_talk,greeting
"wake up, ai",small_talk,greeting
what's up,small_talk,greeting
is everything ok with you,small_talk,greeting
hi! are you doing okay,small_talk,greeting
how've you been feeling,small_talk,greeting
how is it going,small_talk,greeting
whats up with you,small_talk,greeting
is everything going okay,small_talk,greeting
aloha,small_talk,greeting
"hello, ai",small_talk,greeting
ahoy hoy,small_talk,greeting
how are things for you,small_talk,greeting
whats up,small_talk,greeting
how is life treating you,small_talk,greeting
how is my ai doing,small_talk,greeting
hi ai,small_talk,greeting
how is everything going,small_talk,greeting
good evening,small_talk,greeting
"hello, how are you",small_talk,greeting
hello siri,small_talk,greeting
bonjour,small_talk,greeting
what do i owe the government on my taxes,work,taxes
how much am i going to have to pay in federal taxes this year,work,taxes
how much did my state taxes change,work,taxes
can you tell me my income tax,work,taxes
what do i pay in taxes,work,taxes
how much will i pay in federal taxes,work,taxes
what amount do i have to pay in taxes,work,taxes
can you calculate my state taxes,work,taxes
"what amount of money do i pay in taxes, please",work,taxes
"using my salary as a basis, what taxes will i owe",work,taxes
tell me what my state taxes are,work,taxes
what does it look like my state taxes will add up to,work,taxes
what's my bill going to be for my taxes for tennessee,work,taxes
what do i pay currently in income taxes,work,taxes
what amount do my state taxes look like,work,taxes
give me the specifics on my federal taxes,work,taxes
i would like to know how much i pay in taxes,work,taxes
how much will i have to pay in state taxes,work,taxes
how much do i pay in taxes,work,taxes
how much money is the state going to take from me for taxes,work,taxes
how are my federal taxes looking this year,work,taxes
what will my state taxes amount to this year,work,taxes
how much do i owe for state taxes,work,taxes
what can i expect to pay in taxes,work,taxes
i need to know how much i should pay in tax,work,taxes
are my state tax payments too high,work,taxes
how much tax do i pay,work,taxes
how much does it seem my state taxes will be,work,taxes
what is the tax amount,work,taxes
how much state taxes do i owe,work,taxes
what is the total amount of tax deductions from my income,work,taxes
how much do i pay in tax,work,taxes
how much is the irs going to get from me,work,taxes
let me know my tax rate,work,taxes
please tell me what i pay in taxes,work,taxes
i need to know how much tax i pay from my earnings,work,taxes
what will i need to pay in federal taxes,work,taxes
what are my state taxes looking like,work,taxes
about how much will my federal taxes be,work,taxes
what do i currently pay in taxes,work,taxes
what amount will my state taxes be,work,taxes
how much tax do i owe,work,taxes
how much am i paying from my income in taxes,work,taxes
how much are taxes on this,work,taxes
help me calculate my federal tax bill,work,taxes
will i pay over $500 in federal taxes,work,taxes
tell me how much in tax on this,work,taxes
i have to pay how much back in taxes,work,taxes
what is the total amount i pay in taxes,work,taxes
what's the damage on my federal tax return,work,taxes
what if i lost my luggage,travel,lost_luggage
my luggage has not arrived and i would like assistance locating it,travel,lost_luggage
i arrived on delta flight ab123 from juno but my luggage doesn't appear to have come with me,travel,lost_luggage
what's the procedure to deal with lost luggage,travel,lost_luggage
i lost my luggage coming from chicago on delta flight ab123,travel,lost_luggage
can you check where my luggage is off jetblue flight ab123 out of buffalo,travel,lost_luggage
my bags didn't make it to the new orleans airport,travel,lost_luggage
"i need my luggage found, i was on delta flight ab123 out of san francisco",travel,lost_luggage
my luggage was on delta flight abc123 out of houston and now i can’t find it,travel,lost_luggage
can you help me find my luggage it was lost on delta flight abc123 from houston,travel,lost_luggage
i'm in baggage claim at the airport and my luggage didn't make it,travel,lost_luggage
what is the next step if my luggage was lost,travel,lost_luggage
is there someone i can talk to since i am in the airport waiting for my luggage which never came,travel,lost_luggage
who do i complain to about my luggage not arriving at the airport,travel,lost_luggage
can you tell me what to do as i am in the airport and have been for some time and there is still no sign of my suitcase,travel,lost_luggage
i miss placed my luggage i was on delta flight ab123 out of new york,travel,lost_luggage
i just flew in on american airlines flight ab123 from chicago and can't find my luggage,travel,lost_luggage
can you please help me find my lost luggage,travel,lost_luggage
i think my luggage was misplaced or has been lost,travel,lost_luggage
who can i turn to if i lost my luggage,travel,lost_luggage
im at lax and my bags aren't,travel,lost_luggage
i lost my luggage coming from new york city on american flight ab123,travel,lost_luggage
i can't find any of my luggage!,travel,lost_luggage
i believe that my luggage was lost,travel,lost_luggage
"my luggage is missing, i think",travel,lost_luggage
i need to find my luggage,travel,lost_luggage
my luggage is missing i was on spirit flight ab123 from chicago,travel,lost_luggage
it appears that my luggage has vanished,travel,lost_luggage
i can't find my luggage anywhere and there's no more on the conveyor,travel,lost_luggage
how do i find lost luggage,travel,lost_luggage
i think my luggage got lost,travel,lost_luggage
find me the number for jet blue's customer service so i can yell at someone about my missing luggage,travel,lost_luggage
i'm not able to find my luggage and i was on southwest airlines flight ab123 out of houston,travel,lost_luggage
it seems my luggage was lost,travel,lost_luggage
locate lost luggage from flight america airlines in o'hare,travel,lost_luggage
what step do i take if my bag got lost on the flight,travel,lost_luggage
who do i go to to find lost luggage,travel,lost_luggage
my luggage is lost and i would like help trying to locate it,travel,lost_luggage
can you help me locate lost luggage,travel,lost_luggage
i'm having trouble finding my luggage i was on delta flight ab123 out of new york,travel,lost_luggage
how do i handle the situation if i lost my luggage,travel,lost_luggage
where do i begin the process of reporting my luggage lost,travel,lost_luggage
i got to vegas airport but my bags didn't,travel,lost_luggage
"my luggage did not arrive, please investigate",travel,lost_luggage
who do i report lost luggage to,travel,lost_luggage
"i can't locate my luggage, i was on jetblue flight ab123 out of detroit",travel,lost_luggage
do you know whom i should contact since my luggage did not arrive,travel,lost_luggage
"where are my bags, not here at the airport",travel,lost_luggage
what to do if luggage lost,travel,lost_luggage
"if i lost my luggage, where can i get help",travel,lost_luggage
switch to female voice,meta,change_accent
i want to change what accent you use,meta,change_accent
change to female voice,meta,change_accent
try using a different accent,meta,change_accent
go ahead and switch to the male voice,meta,change_accent
change to a male voice,meta,change_accent
switch to a different accent,meta,change_accent
i want to use the female voice now,meta,change_accent
"if you can do accents, i want to hear you talk like david bowie",meta,change_accent
can you speak like a british dude,meta,change_accent
please talk to me in the male british accent,meta,change_accent
please change to the female voice,meta,change_accent
please set to female voice,meta,change_accent
i would prefer to hear the female voice,meta,change_accent
please change your accent to a british male,meta,change_accent
i prefer female voice now,meta,change_accent
can you use a different accent,meta,change_accent
set to female voice,meta,change_accent
use your male voice,meta,change_accent
please use a male voice when speaking,meta,change_accent
use a new accent,meta,change_accent
can you use male voice,meta,change_accent
use male voice,meta,change_accent
use a male voice instead,meta,change_accent
can i hear the male voice please,meta,change_accent
switch over from female to the male voice,meta,change_accent
please change your accent to the male british one,meta,change_accent
please start using female voice,meta,change_accent
switch over to the male voice mode,meta,change_accent
i must to the female voice,meta,change_accent
use a male voice now,meta,change_accent
use female voice now instead,meta,change_accent
i want you to change your accent to the male british one,meta,change_accent
could you talk like a british male,meta,change_accent
go ahead and change your accent to the male british one,meta,change_accent
switch to british male accent,meta,change_accent
please use male voice,meta,change_accent
go ahead and switch to the female voice,meta,change_accent
can you swap to male voice,meta,change_accent
i want your accent changed to the male british one,meta,change_accent
i need for you to change your accent to the male british one,meta,change_accent
please use your female voice,meta,change_accent
switch from the male to the female voice,meta,change_accent
switch to male british accent,meta,change_accent
speak in a different accent,meta,change_accent
i want to hear the female voice option,meta,change_accent
speak as a british male,meta,change_accent
change the accent you're speaking in,meta,change_accent
do a british male accent only,meta,change_accent
i wanna switch to the male voice,meta,change_accent
go ahead and say all of the points on my list of to-do's please,home,todo_list
let's go through my to do list items please,home,todo_list
can you please tell me what is on my to-do list,home,todo_list
can i hear the complete to do list just dictated,home,todo_list
i need to know if sorting the mail is on my to do list,home,todo_list
i need my todo list read,home,todo_list
what is on my to do list,home,todo_list
what are the things that i have for today,home,todo_list
is cleaning the kitchen coming up on my list of things i have to do today,home,todo_list
i need to hear my todo list,home,todo_list
do i already have a task on my todo list to research delaware,home,todo_list
what items do i need to do,home,todo_list
please tell me all items on my todo list,home,todo_list
do i have an item on my todo list related to shopping,home,todo_list
what do i have on my need to do list,home,todo_list
please inform me of what tasks i have listed on my to do list,home,todo_list
does my errand list have goodwill on it,home,todo_list
did i create a task to clean the gutters on my list,home,todo_list
can you tell me the tasks on my to-do list,home,todo_list
i need to know what my to-do list is looking like,home,todo_list
i need to know everything on my to do list currently,home,todo_list
tell me the content of my to do list today,home,todo_list
read back my to do list,home,todo_list
do i have get an oil change on my todo list,home,todo_list
can you look to see whether feeding the fish is on my to do list,home,todo_list
did i remember to add buy flowers to my chore list today,home,todo_list
i need to know what tasks are on my to-do list,home,todo_list
how many chores are on my todo list,home,todo_list
can you tell me my to do list,home,todo_list
what do i have left to do on my to-do list,home,todo_list
do i have brush my teeth on my todo list,home,todo_list
read my complete todo list to me,home,todo_list
tell me what is on the list of things to do,home,todo_list
i wonder what my to-do list looks like for today,home,todo_list
read my to-do list to me,home,todo_list
is studying for the chem exam on my todo list,home,todo_list
read to me my to do list,home,todo_list
"tell me what things i need to accomplish per my to do list, please",home,todo_list
is fixing mom's kitchen blind on my to do list,home,todo_list
"let me hear all of the items on my to do list, please",home,todo_list
check my to do list to see if jewelry repair is listed,home,todo_list
"can you tell me all of the things on my to do list for tomorrow, please",home,todo_list
"repeat my to do list to me, please",home,todo_list
check my domestic to do list for carpet cleaning,home,todo_list
can you tell me the items on my to do list,home,todo_list
please tell me all the items on my to do list right now,home,todo_list
have i set aside a time on my to do list to do my taxes,home,todo_list
do i have a car wash scheduled on my to do list,home,todo_list
i need to know if cleaning out the fridge is on my to do list,home,todo_list
did i put unpacking groceries on my to do list,home,todo_list
last time car was in shop,auto_commute,last_maintenance
what date did i last take my car in,auto_commute,last_maintenance
when did i take to car to the auto shop,auto_commute,last_maintenance
tell me the last time i had my car checked out at sam's repair shop,auto_commute,last_maintenance
you need to tell me when was car in shop,auto_commute,last_maintenance
do you know when my car was last looked at,auto_commute,last_maintenance
check my calendar for the date that my care was last serviced,auto_commute,last_maintenance
when was the last time i got my oil changed,auto_commute,last_maintenance
i need to know when was the last time i had my car checked out for a tune up,auto_commute,last_maintenance
how long's it been since i had my car serviced,auto_commute,last_maintenance
how long ago was my car last in the shop,auto_commute,last_maintenance
when was my most recent oil change,auto_commute,last_maintenance
i need you to look up the date of my car's last visit to the shop,auto_commute,last_maintenance
when did i most recently have my car in the shop,auto_commute,last_maintenance
when was the last time my car was in the shop,auto_commute,last_maintenance
when did last go to the auto repair shop,auto_commute,last_maintenance
i need to know when i last took my car in for a check up,auto_commute,last_maintenance
dates for my car in the shop,auto_commute,last_maintenance
do you remember when i last changed my oil,auto_commute,last_maintenance
do you know how long its been since i had my oil changed and a tune up,auto_commute,last_maintenance
"i can't remember when my car last went to the shop, can you find out for me",auto_commute,last_maintenance
check to see when my car was last in the shop,auto_commute,last_maintenance
what was the last time i had my car at the dealer for repairs,auto_commute,last_maintenance
when was the last time i changed my oil,auto_commute,last_maintenance
tell me when was car in shop,auto_commute,last_maintenance
tell me when someone looked at my car last,auto_commute,last_maintenance
when did my car get serviced last,auto_commute,last_maintenance
how long has it been since my last auto maintenance,auto_commute,last_maintenance
please find the date of my last oil change,auto_commute,last_maintenance
so when was car in shop,auto_commute,last_maintenance
how long ago did my car get looked at,auto_commute,last_maintenance
let me know when my car was last looked at,auto_commute,last_maintenance
when did i last have my vehicle checked on,auto_commute,last_maintenance
when did i take my car to paul's auto last,auto_commute,last_maintenance
what was the date of my last auto appointment,auto_commute,last_maintenance
what day did i change my oil,auto_commute,last_maintenance
find the date of the last oil swap for my car,auto_commute,last_maintenance
my car was looked at when,auto_commute,last_maintenance
when did i take my car to the mechanic,auto_commute,last_maintenance
when was my last car service date,auto_commute,last_maintenance
when did i last have my vehicle serviced,auto_commute,last_maintenance
when did i last take my car in for maintenance,auto_commute,last_maintenance
look up the date of my last oil change,auto_commute,last_maintenance
do you know when i last took my car in to the shop,auto_commute,last_maintenance
when did i last service my car with an oil change,auto_commute,last_maintenance
can you remind me of when i last had an oil change,auto_commute,last_maintenance
how long has it been since my car was last in the shop,auto_commute,last_maintenance
was my last oil change on wednesday,auto_commute,last_maintenance
please tell me the last time i took my car to the shop,auto_commute,last_maintenance
do you have a date for the last time the car was in the shop,auto_commute,last_maintenance
can you call mom,utility,make_call
i must call dr smith,utility,make_call
bella needs to be called,utility,make_call
it's necessary to call michael,utility,make_call
can you call russell,utility,make_call
call sandra right now,utility,make_call
call work,utility,make_call
phone christie,utility,make_call
call friend,utility,make_call
i am going to call the landlord,utility,make_call
place a call to bill now,utility,make_call
call someone,utility,make_call
dial someone's phone number,utility,make_call
give liz a call,utility,make_call
call mark,utility,make_call
connect me to bob,utility,make_call
call mymother,utility,make_call
initiate a phone call with receptionist,utility,make_call
call erryn,utility,make_call
it's time for me to call drew,utility,make_call
x is waiting for me to call,utility,make_call
use my phone to dial work,utility,make_call
call my mother,utility,make_call
call robby for me,utility,make_call
call robby,utility,make_call
i want to talk to sarah,utility,make_call
dial x's phone please,utility,make_call
put me on a call to sally,utility,make_call
dial steven,utility,make_call
can you make a phone call to roger,utility,make_call
call jim,utility,make_call
can you call my mom,utility,make_call
i want you to call bella,utility,make_call
please phone lizzy,utility,make_call
dial lisa's cell phone number,utility,make_call
i must call roderick,utility,make_call
phone sarah,utility,make_call
please make a phone call to christopher,utility,make_call
phone lobby,utility,make_call
call someone for me,utility,make_call
can you call a taxi,utility,make_call
can i call a restaurant,utility,make_call
call home,utility,make_call
would you give jenny a call,utility,make_call
i have to call jane,utility,make_call
please dial david now,utility,make_call
i want to make a call to uncle,utility,make_call
please dial christie's number,utility,make_call
phone call secretary,utility,make_call
i will be calling hr,utility,make_call
what type of gas does my car use,auto_commute,gas_type
what do i need to gas up this car,auto_commute,gas_type
tell me what type of gas this car uses,auto_commute,gas_type
does this take regular unleaded,auto_commute,gas_type
will this car run on the cheaper gas,auto_commute,gas_type
what type of fuel is used for this vehicle,auto_commute,gas_type
can i put normal unleaded in this car,auto_commute,gas_type
what kind of gas does this car take,auto_commute,gas_type
tell me what kind of gas this car uses,auto_commute,gas_type
what type of gas does this car need,auto_commute,gas_type
i would like to know the kind of gas that this car uses,auto_commute,gas_type
what kind of gas should go in this car,auto_commute,gas_type
i want to know the type of gasoline for this car,auto_commute,gas_type
can i use any fuel in my car,auto_commute,gas_type
is there a certain type of gas i need to use,auto_commute,gas_type
which type of gas do i need to put in my car,auto_commute,gas_type
what kind of fuel does my vehicle run on,auto_commute,gas_type
i wish to know the gas i need to fill this car up with,auto_commute,gas_type
what gas do i need to fill the car up with,auto_commute,gas_type
what gas does the car need,auto_commute,gas_type
tell me the fuel type used by my car,auto_commute,gas_type
what sort of fuel do i need for my car,auto_commute,gas_type
please inform me the gas i need to fill this car up with,auto_commute,gas_type
my car uses what type of fuel,auto_commute,gas_type
what type of fuel does my car use,auto_commute,gas_type
what kind of fuel do i need,auto_commute,gas_type
what kind of fuel goes in my engine,auto_commute,gas_type
tell me the gas i need to fill this car up with,auto_commute,gas_type
tell me the kind of fuel that my vehicle operates on,auto_commute,gas_type
tell me the gasoline type for this car,auto_commute,gas_type
what type of fuel should i use in my car,auto_commute,gas_type
tell me the fuel my car takes,auto_commute,gas_type
tell me what type of fuel i need to use for this car,auto_commute,gas_type
what type of gas do i need to use in this car,auto_commute,gas_type
what gas does the car use,auto_commute,gas_type
what kind of gas should i put in this car,auto_commute,gas_type
does this care use premium gas,auto_commute,gas_type
tell me what type of fuel my car uses,auto_commute,gas_type
what type of gas does this car take,auto_commute,gas_type
what percentage gas do i need,auto_commute,gas_type
what kind of gas is needed for this car,auto_commute,gas_type
i need to know what kind of gas to put in this car,auto_commute,gas_type
look up the type of gas needed for this vehicle,auto_commute,gas_type
what kind of gas should i put into this car,auto_commute,gas_type
what type of gas do i need for this car,auto_commute,gas_type
what kind of gas does this car use,auto_commute,gas_type
i wanna know the gas i need to fill this car up with,auto_commute,gas_type
what kind of gas does my car use,auto_commute,gas_type
is there a certain type of gas i need to use for this car,auto_commute,gas_type
what sort of gas should i get for my car,auto_commute,gas_type
i won't require my reservation anymore,kitchen_dining,cancel_reservation
the reservation i have isn't needed any more,kitchen_dining,cancel_reservation
please cancel my reservation for dinner,kitchen_dining,cancel_reservation
im not going to dinner tonight,kitchen_dining,cancel_reservation
"hello, i need to cancel tonight's reservation for dinner",kitchen_dining,cancel_reservation
is it possible to cancel the reservation at outback for the johnsons,kitchen_dining,cancel_reservation
can you cancel my reservation on tuesday for chris at stella maris,kitchen_dining,cancel_reservation
i no longer need a table for four at chili's,kitchen_dining,cancel_reservation
i want to cancel my reservation for 5 at red robin,kitchen_dining,cancel_reservation
cancel my reservation for 4 at red robin,kitchen_dining,cancel_reservation
i no longer need my reservation with carl at umami,kitchen_dining,cancel_reservation
"cancel the dinner reservation i made, okay",kitchen_dining,cancel_reservation
i need to cancel my dinner reservation,kitchen_dining,cancel_reservation
cancel my reservations for joe's at zepher right now,kitchen_dining,cancel_reservation
the reservation i made is not required anymore,kitchen_dining,cancel_reservation
can you cancel my dinner reservation,kitchen_dining,cancel_reservation
get rid of my dinner reservation,kitchen_dining,cancel_reservation
can you cancel the reservation for kyle's party at red lobster,kitchen_dining,cancel_reservation
can you undo the reservation,kitchen_dining,cancel_reservation
please cancel the table i had reserved for tonight,kitchen_dining,cancel_reservation
can you cancelt the reservation i have for dinner,kitchen_dining,cancel_reservation
cancel tonight's dinner reservation,kitchen_dining,cancel_reservation
tell the restaurant i cannot make it,kitchen_dining,cancel_reservation
please cancel my reservation for chris at brio,kitchen_dining,cancel_reservation
go ahead and cancel the reservation i made for 6:00 pm at parc,kitchen_dining,cancel_reservation
please cancel my 7:30 reservation for morton's,kitchen_dining,cancel_reservation
